--- ALL SCHOOLS ---
ID: b1a677ae-f570-4d50-adcb-7612044c842f, Name: EduTrack Primary School
ID: 057c8ba7-c6ef-48a1-863c-77a9278c3dc6, Name: Manual School
ID: 152fe794-9765-417d-a24b-98cf257221de, Name: Test School
ID: 28bbf8ad-a6dc-4b24-8bff-f09969be8d9e, Name: Fallback School
ID: 2999cc70-cef2-48ed-9053-9c7fc75651f2, Name: Flow School
ID: 13f66ef6-5265-44be-bd0d-2524d13ebe1d, Name: Flow School 2
ID: 8750357e-816a-426c-bc69-5b9506aff413, Name: Test School
ID: 683a214d-4b63-4c83-823b-ec3ea4391751, Name: Fallback School
ID: f5db9365-fc2c-420f-a1b6-d602101496e7, Name: Flow School 3
ID: e2fc7f5d-9f3f-46d2-87d9-9bbb26f30984, Name: Test School
ID: 1eebc374-ac4d-48b3-9414-f728dccc9e93, Name: Fallback School
ID: 5764c87e-ae45-48d1-b8cd-336a7e1729b4, Name: Cors School
ID: 0d850dd1-f79e-4650-bdac-a03a6aa58f25, Name: Ajay
ID: f370dcda-e782-450f-9abe-50a406c955cd, Name: Test School
ID: fb7dd97c-d3a7-447a-8c8a-33ebe25f7d2c, Name: Fallback School
ID: b9da748b-d19f-46e3-93a9-aaf012fdf84a, Name: Teacher School
ID: b8872739-71c1-4eb6-8cd4-d0c227f9d563, Name: Teacher School
ID: 16468191-7a9c-41a2-a1a4-ad242c117e42, Name: Test School
ID: da045b09-cd58-4b72-a89f-f36347549bbd, Name: Fallback School
ID: 6a7a68f9-ce81-4d8f-80b0-bd70452fc63d, Name: Teacher School
ID: 3765234c-76cf-408e-8893-dd7693649c7b, Name: Teacher School
ID: 8a5f5970-6fe1-4c8d-82bf-aac99aab1226, Name: Test School
ID: 037d100a-5e8f-4b82-bd8f-513721f5d613, Name: Fallback School
ID: fb985e91-dd29-4cef-865f-73f520fcfe78, Name: Teacher School
ID: 339a6a81-1058-4878-b4f3-ad0f65cf2856, Name: Teacher School
ID: 6958fe86-bf12-470e-8578-546a877d586c, Name: Test School
ID: 5adace97-c339-4299-9f94-99aa643983d2, Name: Fallback School
ID: c6cdac38-0064-4bbe-8dff-bcd304762f9b, Name: Teacher School
ID: 1bf5c5dd-41c5-42cb-b682-15183e30a93b, Name: Teacher School
ID: 368e4864-54b4-4363-b95f-b948bf16d8fb, Name: Teacher School
ID: 8c8fef32-4aa6-48e2-8908-a714fd3354c9, Name: Test School
ID: 59bb8818-6529-4736-bd5e-05f3f9d38c77, Name: Fallback School
ID: 7fc00de3-ce78-488b-8a50-3428920f9620, Name: Teacher School
ID: 3a2edf95-6a6a-40ff-a1a5-465253b54988, Name: Teacher School
ID: 9f0aca06-e387-42af-b11d-cdfb16117e58, Name: Test School
ID: d31210e2-acea-49f1-a259-90a069798795, Name: Fallback School
ID: 56c7b97d-a9ab-405a-83dd-57327051ea7a, Name: Teacher School
ID: b7a074fd-4ba0-4d6b-b1f0-7d50ff3cdbad, Name: Teacher School
ID: 854546b8-a446-4225-8e88-373e7db3301f, Name: Test School
ID: d4cca4d0-759e-4d00-be8e-10c6262d1575, Name: Fallback School
ID: a61357df-093e-4497-94d8-e9b75a42f188, Name: Teacher School
ID: 053334c7-2546-40d6-b8b0-cd11de4049fb, Name: Teacher School
ID: 76b63d63-c710-44d3-8d40-e6c778d650ed, Name: Test School
ID: 1d69f5af-ea7b-4af3-9ec6-336f1970bc1f, Name: Fallback School
ID: d6a41cde-f678-425a-928e-bf48ce3a7798, Name: Teacher School
ID: 6cb1072e-d31f-4469-8959-df9b3e087211, Name: Teacher School
ID: 992805e3-ba39-4e2c-9f20-80d2568debe3, Name: Teacher School
ID: dcef1807-4c84-4c68-a62f-aefaac113c18, Name: Test School
ID: dd6ddb8e-5d95-4556-9652-3f308f7760a9, Name: Fallback School
ID: aec4f6d2-a250-4e51-a65d-790c16479a61, Name: Teacher School
ID: ecf2f4f2-dab3-4fbb-8dae-36a474b7e4d6, Name: Teacher School
ID: 169439f9-5a6e-488c-a054-154e7e3bfe70, Name: Teacher School
ID: d9ea4ec5-0df8-4924-9ef9-babe256a3002, Name: Teacher School
